id,study_ext,study,author,year,st_names,journal,country,blinding,intervention,control,women_per,timing,fi,fq,pval,fx_site,outcome,HR,lower,upper,Notes,e_con,n_rand_con,e_intv,n_rand_intv,x95_ci,p_value,pri_endpoint,sen_analysis,extended,notes,st_cohort,rep_loss,rep_withdr,rep_death,rep_compt,n_control,n_interven
a_1,6b,,Leder_ACTIVExtend,2020,Leder (2020)_exta1,JCEM,International,Double,Abaloparatide,Alendronate,1,4,4,0.0035971,0.0092162,Vert_24m,1,0.29,0.1,0.87,,16,581,3,558,"0.10, 0.87",0.027,0,1,1,post-hoc analysis/extended,postm osteoporotic women aged 49+,9,62,68,1861,568,544
a_2,1b,,Body_VERO,2020,Body (2020)_a1,OI,International,Double,Teriparatide_20,Risedronate,1,2,,,,MOF_12m,2,0.38,0.2,0.72,,24,680,10,680,"0.20, 0.72",0.003,0,0,0,VERO (2nd paper),Survival analysis: no loss to FU,,,,,680,680
a_3,1b,,Body_VERO,2020,Body (2020)_a2,OI,International,Double,Teriparatide_20,Risedronate,1,4,,,,MOF_24m,2,0.2,0.05,0.86,,40,680,16,680,"0.05, 0.86",0.031,0,0,0,VERO (2nd paper),Survival analysis: no loss to FU,,,,,680,680
a_4,1b,,Body_VERO,2020,Body (2020)_a3,OI,International,Double,Teriparatide_20,Risedronate,1,2,,,,ClinFx_12m,2,0.49,0.31,0.78,Did not report clinical fractures @ 24 months,34,680,18,690,"0.31, 0.78",0.003,0,0,0,VERO (2nd paper),Survival analysis: no loss to FU,,,,,680,680
a_5,1,1,Kendler_VERO,2018,Kendler (2018)_a1,Lancet,International,Double,Teriparatide,Risedronate,1,4,15,0.0142993,0.0002691,Vert_24m,1,0.44,0.29,0.68,,64,680,28,680,"[0.29,0.68]",0.0001,1,0,0,6 pt excluded from the analyses,"postm women aged 45+: <=-1.5, 2+ mod/1+ sev vert fx",12,185,20,1013,533,516
a_6,1,,Kendler_VERO,2018,Kendler (2018)_a2,Lancet,International,Double,Teriparatide,Risedronate,1,4,17,0.0162059,0.0002114,NworsenVert_24m,1,0.46,0.31,0.68,,69,680,31,680,"[0.31,0.68]",0.0001,0,0,0,,"postm women aged 45+: <=-1.5, 2+ mod/1+ sev vert fx",12,185,20,1013,533,516
a_7,1,,Kendler_VERO,2018,Kendler (2018)_a3,Lancet,International,Double,Teriparatide,Risedronate,1,4,12,0.0088235,0.0010345,ClinFx_24m,2,0.48,0.32,0.74,,61,680,30,680,"[0.32,0.74]",0.0009,0,0,0,,"postm women aged 45+: <=-1.5, 2+ mod/1+ sev vert fx",12,185,20,1013,563,538
a_8,1,,Kendler_VERO,2018,Kendler (2018)_a4,Lancet,International,Double,Teriparatide,Risedronate,1,4,2,0.0019066,0.0208278,MVert_24m,1,0.16,0.04,0.74,,12,680,2,680,"0.04, 0.74",0.007,0,0,0,,"postm women aged 45+: <=-1.5, 2+ mod/1+ sev vert fx",12,185,20,1013,533,516
a_9,1,,Kendler_VERO,2018,Kendler (2018)_a5,Lancet,International,Double,Teriparatide,Risedronate,1,2,3,0.0025884,0.0229448,Vert_12m,1,0.52,0.3,0.91,,18,680,35,680,"[0.3,0.91]",0.019,0,0,0,,"postm women aged 45+: <=-1.5, 2+ mod/1+ sev vert fx",12,185,20,1013,574,585
a_10,2,1,Reid,2018,Reid (2018)_a1,NEJM,NZ,Double,Zoledronate,Placebo,1,8,35,0.0175,0.000035,OFx_72m,2,0.63,0.5,0.79,,190,1000,122,1000,"[0.5,0.79]",0.0001,1,0,0,,osteopenic women aged 65+,9,62,68,1861,982,966
a_11,2,,Reid,2018,Reid (2018)_a2,NEJM,NZ,Double,Zoledronate,Placebo,1,8,17,0.0085,0.003724,ClinFx_72m,2,0.73,0.6,0.9,,214,1000,163,1000,"[0.6,0.9]",0.003,0,0,0,No. at risk for OFx_72m,osteopenic women aged 65+,9,62,68,1861,1006,1000
a_12,2,,Reid,2018,Reid (2018)_a3,NEJM,NZ,Double,Zoledronate,Placebo,1,8,9,0.0045,0.0023637,Vert_72m,1,0.45,0.27,0.73,,49,1000,23,1000,"[0.27,0.73]",0.0015,0,0,0,No. completed 72m FU. Pvalue from csi,osteopenic women aged 65+,9,62,68,1861,925,936
a_13,2,,Reid,2018,Reid (2018)_a4,NEJM,NZ,Double,Zoledronate,Placebo,1,8,6,0.003,0.0047679,ClinVert_72m,2,0.41,0.22,0.75,,34,1000,14,1000,"[0.22,0.75]",0.003,0,0,0,No. at risk not provided. Pvalue from csi,osteopenic women aged 65+,9,62,68,1861,925,936
a_14,2,,Reid,2018,Reid (2018)_a5,NEJM,NZ,Double,Zoledronate,Placebo,1,8,18,0.009,0.0015996,NonVert_72m,2,0.66,0.51,0.85,,148,1000,101,1000,"[0.51,0.85]",0.001,0,0,0,No. at risk for OFx_72m,osteopenic women aged 65+,9,62,68,1861,940,945
a_15,2,,Reid,2018,Reid (2018)_a6,NEJM,NZ,Double,Zoledronate,Placebo,1,8,8,0.004,0.0061054,ForearmWrist_72m,2,0.56,0.37,0.85,,63,1000,36,1000,"[0.37,0.85]",0.0033,0,0,0,No. at risk for OFx_72m,osteopenic women aged 65+,9,62,68,1861,855,880
a_16,3,1,Nakamura_ZONE,2017,Nakamura (2017)_a1,OI,Japan,Double,Zoledronate,Placebo,0.94,4,,,,Vert_24m,1,0.34,0.17,0.69,Only looked at primary analysis - 2 options present (1 = overall / 2 = specifically women),29,332,10,333,"0.17, 0.69",0.0016,1,0,0,,"Osteoporisis aged 65-89, fragility fracture, 1-4 vertfx",123,81,,,327,330
a_17,3,,Nakamura_ZONE,2017,Nakamura (2017)_a2,OI,Japan,Double,Zoledronate,Placebo,0.94,4,,,,ClinFx_24m,2,0.46,0.29,0.75,,52,332,24,333,"0.29, 0.75",0.0014,0,0,0,,"Osteoporisis aged 65-89, fragility fracture, 1-4 vertfx",123,81,,,331,330
a_18,3,,Nakamura_ZONE,2017,Nakamura (2017)_a3,OI,Japan,Double,Zoledronate,Placebo,0.94,4,,,,ClinVert_24m,1,0.3,0.11,0.82,,17,332,5,333,"0.11, 0.82",0.013,0,0,0,,"Osteoporisis aged 65-89, fragility fracture, 1-4 vertfx",123,81,,,331,330
a_19,3,,Nakamura_ZONE,2017,Nakamura (2017)_a4,OI,Japan,Double,Zoledronate,Placebo,0.94,4,,,,NonVert_24m,1,0.55,0.32,0.95,,37,332,20,333,"0.32, 0.95",0.0292,0,0,0,,"Osteoporisis aged 65-89, fragility fracture, 1-4 vertfx",123,81,,,331,330
a_20,4,1,Saag,2017,Saag (2017)_a1,NEJM,International,Double,Romosozumab,Alendronate,1,4,77,0.0188126,6.46e-10,Vert_24m,1,0.5,0.38,0.66,New vert fracture by LOCF,147,2047,74,2046,"0.38, 0.66",0.0001,1,0,0,True primary endpoint (Fx LOCF imputed),"postm women aged 55+: (i) <=-2.5, 1+mod/2+ mild vert, (ii) <=-2, 2+ mod vert or 1+ hip",67,514,192,3150,1834,1825
a_21,4,,Saag,2017,Saag (2017)_a2,NEJM,International,Double,Romosozumab,Alendronate,1,4,28,0.0068409,0.0008675,ClinFx_24m,2,0.73,0.61,0.88,Primary Analysis Period,266,2047,198,2046,"[0.61,0.88]",0.0001,1,0,0,Co-primary endpoint,"postm women aged 55+: (i) <=-2.5, 1+mod/2+ mild vert, (ii) <=-2, 2+ mod vert or 1+ hip",67,514,192,3150,1830,1813
a_22,4,,Saag,2017,Saag (2017)_a3,NEJM,International,Double,Romosozumab,Alendronate,1,4,77,0.0188126,6.46e-10,Vert_24m,1,0.52,0.4,0.66,Reported new vert fracture by multiple imputation (what was reported in actual paper),243,2047,127,2046,"[0.4,0.66]",0.0001,1,1,0,True primary endpoint (Fx MI imputed),"postm women aged 55+: (i) <=-2.5, 1+mod/2+ mild vert, (ii) <=-2, 2+ mod vert or 1+ hip",67,514,192,3150,2047,2046
